Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.00     38.36     0.00       16     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> >::max_size() const
  0.00     38.36     0.00       16     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> >::max_size() const
  0.00     38.36     0.00       16     0.00     0.00  sc_core::sc_fifo_out_if<Image_s>** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<sc_core::sc_fifo_out_if<Image_s>*>(sc_core::sc_fifo_out_if<Image_s>* const*, sc_core::sc_fifo_out_if<Image_s>* const*, sc_core::sc_fifo_out_if<Image_s>**)
  0.00     38.36     0.00       16     0.00     0.00  sc_core::sc_fifo_out_if<Simage_s>** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<sc_core::sc_fifo_out_if<Simage_s>*>(sc_core::sc_fifo_out_if<Simage_s>* const*, sc_core::sc_fifo_out_if<Simage_s>* const*, sc_core::sc_fifo_out_if<Simage_s>**)
  0.00     38.36     0.00       16     0.00     0.00  void std::_Destroy_aux<true>::__destroy<sc_core::sc_fifo_out_if<Image_s>**>(sc_core::sc_fifo_out_if<Image_s>**, sc_core::sc_fifo_out_if<Image_s>**)
  0.00     38.36     0.00       16     0.00     0.00  void std::_Destroy_aux<true>::__destroy<sc_core::sc_fifo_out_if<Simage_s>**>(sc_core::sc_fifo_out_if<Simage_s>**, sc_core::sc_fifo_out_if<Simage_s>**)
  0.00     38.36     0.00       16     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> >::_M_deallocate(sc_core::sc_fifo_out_if<Image_s>**, unsigned long)
  0.00     38.36     0.00       16     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> >::_M_deallocate(sc_core::sc_fifo_out_if<Simage_s>**, unsigned long)
  0.00     38.36     0.00       16     0.00     0.00  sc_core::sc_fifo_out_if<Image_s>** std::__uninitialized_copy<true>::uninitialized_copy<sc_core::sc_fifo_out_if<Image_s>**, sc_core::sc_fifo_out_if<Image_s>**>(sc_core::sc_fifo_out_if<Image_s>**, sc_core::sc_fifo_out_if<Image_s>**, sc_core::sc_fifo_out_if<Image_s>**)
  0.00     38.36     0.00       16     0.00     0.00  sc_core::sc_fifo_out_if<Simage_s>** std::__uninitialized_copy<true>::uninitialized_copy<sc_core::sc_fifo_out_if<Simage_s>**, sc_core::sc_fifo_out_if<Simage_s>**>(sc_core::sc_fifo_out_if<Simage_s>**, sc_core::sc_fifo_out_if<Simage_s>**, sc_core::sc_fifo_out_if<Simage_s>**)
  0.00     38.36     0.00       16     0.00     0.00  sc_core::sc_fifo_out_if<Image_s>** std::__copy_move_a<false, sc_core::sc_fifo_out_if<Image_s>**, sc_core::sc_fifo_out_if<Image_s>**>(sc_core::sc_fifo_out_if<Image_s>**, sc_core::sc_fifo_out_if<Image_s>**, sc_core::sc_fifo_out_if<Image_s>**)
  0.00     38.36     0.00       16     0.00     0.00  sc_core::sc_fifo_out_if<Simage_s>** std::__copy_move_a<false, sc_core::sc_fifo_out_if<Simage_s>**, sc_core::sc_fifo_out_if<Simage_s>**>(sc_core::sc_fifo_out_if<Simage_s>**, sc_core::sc_fifo_out_if<Simage_s>**, sc_core::sc_fifo_out_if<Simage_s>**)
